Age,Year,Men,Women
< 20,2000,5,4
< 20,2010,3,5
< 20,2016,2,4
< 20,2017,4,9
< 20,2018,3,5
20 - 30,2000,12,6
20 - 30,2010,10,10
20 - 30,2016,8,11
20 - 30,2017,11,10
20 - 30,2018,13,14
30 - 40,2000,18,23
30 - 40,2010,11,16
30 - 40,2016,12,16
30 - 40,2017,11,12
30 - 40,2018,16,13
40 - 50,2000,25,24
40 - 50,2010,28,25
40 - 50,2016,20,18
40 - 50,2017,21,22
40 - 50,2018,18,16
50 - 60,2000,17,17
50 - 60,2010,26,22
50 - 60,2016,27,25
50 - 60,2017,26,22
50 - 60,2018,24,23
60 - 70,2000,10,12
60 - 70,2010,12,14
60 - 70,2016,18,16
60 - 70,2017,16,16
60 - 70,2018,16,17
70 - 80,2000,8,11
70 - 80,2010,7,5
70 - 80,2016,9,7
70 - 80,2017,6,6
70 - 80,2018,8,9
80+,2000,6,3
80+,2010,4,3
80+,2016,4,4
80+,2017,4,2
80+,2018,5,4
